target_id,rel_name,k12_name,k12_accession_1,k12_accession_2,rel_product,k12_product,rel_pathways,k12_pathways,rel_reactions,k12_reactions,rel_url,k12_url
ECB_02253,mepA,mepA,b2328,ECK2322,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,NA,NA,RXN0-3461 // RXN0-5407,RXN0-5407 // RXN0-3461,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2461,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10580
ECB_02636,truC,truC,b2791,ECK2785,tRNA pseudouridine<sup>65</sup> synthase,tRNA pseudouridine<sup>65</sup> synthase,NA,NA,RXN-11840,RXN-11840,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2857,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7449
ECB_03062,kdsD,kdsD,b3197,ECK3186,D-arabinose 5-phosphate isomerase KdsD,D-arabinose 5-phosphate isomerase KdsD,"superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis"" // ""superpathway of lipopolysaccharide biosynthesis"" // ""CMP-KDO biosynthesis I","superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis"" // ""superpathway of lipopolysaccharide biosynthesis"" // ""CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis",DARAB5PISOM-RXN,DARAB5PISOM-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3290,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7662
ECB_00832,ECB_00832,NA,NA,NA,putative capsid portal protein,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1030,NA
ECB_01296,ompG,ompG,b1319,ECK1315,outer membrane porin G,outer membrane porin G,NA,NA,RXN0-2542,RXN0-2542,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1496,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6657
ECB_03871,thiC,thiC,b3994,ECK3986,phosphomethylpyrimidine synthase,phosphomethylpyrimidine synthase,"superpathway of thiamin diphosphate biosynthesis I"" // ""4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis","superpathway of thiamine diphosphate biosynthesis I"" // ""4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis",PYRIMSYN1-RXN,PYRIMSYN1-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4128,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11585
ECB_01784,sdaA,tdcG,b4471,ECK3101,L-serine deaminase I,L-serine deaminase III,L-serine degradation,L-serine degradation,4.3.1.17-RXN // RXN-15125,4.3.1.17-RXN // RXN-15125,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1984,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7624
ECB_01293,ycjT,ycjT,b1316,ECK1311,kojibiose phosphorylase,kojibiose phosphorylase,NA,NA,2.4.1.230-RXN,2.4.1.230-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1493,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6654
ECB_03868,thiS,thiS,b4407,ECK3983,ThiS protein,sulfur carrier protein ThiS,NA,thiazole biosynthesis I (facultative anaerobic bacteria),NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4125,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G1
ECB_01776,yeaY,yeaY,b1806,ECK1804,predicted lipoprotein,Slp family lipoprotein YeaY,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1976,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6990
ECB_04275,creC,creC,b4399,ECK4391,sensory histidine kinase CreC,sensor histidine kinase CreC,NA,CreCB Two-Component Signal Transduction System,2.7.13.3-RXN,2.7.13.3-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4540,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10730
ECB_00740,ybhB,ybhB,b0773,ECK0762,predicted kinase inhibitor,putative kinase inhibitor,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-938,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11238
ECB_02615,ygcR,ygcR,b2770,ECK2765,predicted flavoprotein,putative flavoprotein,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2837,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7436
ECB_03044,rlmE,rlmE,b3179,ECK3168,23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,NA,NA,RXN-11845,RXN-11845,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3272,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11507
ECB_03436,ECB_03436,NA,NA,NA,putative regulatory protein,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3671,NA
ECB_01276,puuR,puuR,b1299,ECK1294,DNA-binding transcriptional repressor PuuR,PuuR-putrescine,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1476,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12431
ECB_03854,birA,birA,b3973,ECK3965,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,BirA-bio-5'-AMP DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,biotin-carboxyl carrier protein assembly,biotin-carboxyl carrier protein assembly,BIOTINLIG-RXN // RXN0-7192,RXN0-7192 // BIOTINLIG-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4107,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10123
ECB_04258,deoA,deoA,b4382,ECK4374,thymidine phosphorylase,thymidine phosphorylase,"superpathway of pyrimidine deoxyribonucleosides degradation"" // ""salvage pathways of pyrimidine deoxyribonucleotides"" // ""pyrimidine deoxyribonucleosides degradation","superpathway of pyrimidine deoxyribonucleosides degradation"" // ""salvage pathways of pyrimidine deoxyribonucleotides"" // ""pyrimidine deoxyribonucleosides degradation",URA-PHOSPH-RXN // THYM-PHOSPH-RXN,THYM-PHOSPH-RXN // URA-PHOSPH-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4523,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10219
ECB_02210,nuoE,nuoE,b2285,ECK2279,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase I,"nitrate reduction VIII (dissimilatory)"" // ""NADH to dimethyl sulfoxide electron transfer"" // ""NADH to fumarate electron transfer"" // ""NADH to trimethylamine <i>N</i>-oxide electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer","NADH to cytochrome <i>bo</i> oxidase electron transfer I"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer I"" // ""NADH to dimethyl sulfoxide electron transfer"" // ""nitrate reduction VIII (dissimilatory)"" // ""NADH to fumarate electron transfer"" // ""NADH to hydrogen peroxide electron transfer"" // ""NADH to trimethylamine <i>N</i>-oxide electron transfer",RXN0-5388 // NADH-DEHYDROG-A-RXN,NADH-DEHYDROG-A-RXN // RXN0-5388,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2418,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12086
ECB_00711,galT,galT,b0758,ECK0747,galactose-1-phosphate uridylyltransferase,galactose-1-phosphate uridylyltransferase,galactose degradation I (Leloir pathway),galactose degradation I (Leloir pathway),GALACTURIDYLYLTRANS-RXN,GALACTURIDYLYLTRANS-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-909,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10366
ECB_03029,deaD,deaD,b3162,ECK3150,ATP-dependent RNA helicase DeaD,ATP-dependent RNA helicase DeaD,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3255,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10215
ECB_03417,xylA,xylA,b3565,ECK3554,xylose isomerase,xylose isomerase,xylose degradation I,D-xylose degradation I,XYLISOM-RXN,XYLISOM-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3652,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11074
ECB_01258,pyrF,pyrF,b1281,ECK1276,orotidine-5'-phosphate decarboxylase,orotidine-5'-phosphate decarboxylase,"superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UMP biosynthesis","superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UMP biosynthesis I",OROTPDECARB-RXN,OROTPDECARB-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1458,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10809
ECB_03836,pflD,pflD,b3951,ECK3942,formate acetyltransferase 2,putative formate acetyltransferase 2,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4085,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11910
ECB_04240,yjjB,yjjB,b4363,ECK4353,conserved inner membrane protein,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4502,NA
ECB_01740,ydjG,ydjG,b1771,ECK1769,NADH-dependent methylglyoxal reductase,NADH-dependent methylglyoxal reductase,NA,NA,RXN0-5213,RXN0-5213,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1940,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6958
ECB_02191,menD,menD,b2264,ECK2258,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,"superpathway of menaquinol-8 biosynthesis I"" // ""superpathway of chorismate metabolism"" // ""1,4-dihydroxy-2-naphthoate biosynthesis I","superpathway of menaquinol-8 biosynthesis I"" // ""superpathway of chorismate metabolism"" // ""2-carboxy-1,4-naphthoquinol biosynthesis",2.5.1.64-RXN,2.5.1.64-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2399,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10579
ECB_00692,cydA,appC,b0978,ECK0969,cytochrome <i>bd</i>-I ubiquinol oxidase,cytochrome <i>bd</i>-II ubiquinol oxidase,"NADH to cytochrome <i>bd</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bd</i> oxidase electron transfer",NA,"ubiquinol oxidase"" // RXN-19778 // RXN-19777
""cydB",RXN0-5266,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-883,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11380
ECB_02586,ygbJ,ygbJ,b2736,ECK2731,"predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain",putative L-threonate dehydrogenase,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2808,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7417
ECB_03010,yraI,yraI,b3143,ECK3131,putative fimbrial chaperone YraI,putative fimbrial chaperone YraI,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3236,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7638
ECB_03402,yiaD,yiaD,b3552,ECK3539,predicted outer membrane lipoprotein,PF13488 family lipoprotein YiaD,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3637,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12271
ECB_01237,trpD,trpD,b1263,ECK1257,"anthranilate synthase subunit TrpE"" // ""anthranilate synthase subunit TrpD","anthranilate synthase subunit TrpE"" // ""anthranilate synthase subunit TrpD","superpathway of tryptophan biosynthesis"" // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""superpathway of chorismate metabolism"" // ""tryptophan biosynthesis","superpathway of chorismate metabolism"" // ""superpathway of aromatic amino acid biosynthesis"" // ""L-tryptophan biosynthesis",ANTHRANSYN-RXN // PRTRANS-RXN,ANTHRANSYN-RXN // PRTRANS-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1438,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11027
ECB_03820,priA,priA,b3935,ECK3927,primosome,primosome,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4069,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10763
ECB_00676,ybgO,ybgO,b0716,ECK0705,predicted fimbrial-like adhesin protein,putative fimbrial protein YbgO,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-867,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6385
ECB_02569,hycG,hycG,b2719,ECK2714,"hydrogenase 3"" // ""formate dehydrogenase H","formate dehydrogenase H"" // ""hydrogenase 3","respiration (anaerobic)"" // ""mixed acid fermentation"" // ""hydrogen production V",mixed acid fermentation,"FHLMULTI-RXN // ""hydrogenase""","FHLMULTI-RXN // RXN0-3281 // ""hydrogenase""",HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2791,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10480
ECB_02994,prlF,prlF,b3129,ECK3117,YhaV-PrlF toxin-antitoxin complex,YhaV-PrlF toxin-antitoxin complex,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3220,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10955
ECB_03381,bcsA,bcsA,b3533,ECK3518,cellulose synthase,cellulose synthase,NA,NA,CELLULOSE-SYNTHASE-UDP-FORMING-RXN,CELLULOSE-SYNTHASE-UDP-FORMING-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3615,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12260
ECB_01706,chbC,chbC,b1737,ECK1735,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II","<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II",NA,NA,"TRANS-RXN-155 // ""transport of chitobiose""","transport of chitobiose"" // TRANS-RXN-155
""yidL",HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1906,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10141
ECB_04211,mcrC,mcrC,b4345,ECK4335,McrBC restriction endonuclease,McrBC restriction endonuclease,NA,NA,RXN0-2941,RXN0-2941,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4473,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10575
ECB_02151,atoB,atoB,b2224,ECK2217,acetyl-CoA acetyltransferase,acetyl-CoA acetyltransferase,acetoacetate degradation (to acetyl CoA),"acetoacetate degradation (to acetyl CoA)"" // ""oleate &beta;-oxidation",ACETYL-COA-ACETYLTRANSFER-RXN,ACETYL-COA-ACETYLTRANSFER-RXN // RXN-20154 // RXN-20155,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2359,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11672
ECB_02555,srlD,srlD,b2705,ECK2700,NA,sorbitol-6-phosphate 2-dehydrogenase,NA,"superpathway of hexitol degradation (bacteria)"" // ""D-sorbitol degradation II",NA,SORB6PDEHYDROG-RXN,NA,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10971
ECB_02975,yhaK,yhaK,b3106,ECK3097,bicupin-related protein,bicupin-related protein,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3201,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7620
ECB_03366,ccp,ccp,b3518,ECK3503,cytochrome <I>c</i> peroxidase,cytochrome <I>c</i> peroxidase,NA,"glycerol-3-phosphate to hydrogen peroxide electron transport"" // ""NADH to hydrogen peroxide electron transfer",RXN-19020 // RXN-19776 // RXN-19775,RXN-19020 // RXN-19776 // RXN-19775,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3600,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12244
ECB_03786,ECB_03786,NA,NA,NA,putative glycoporin,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4035,NA
ECB_01683,pheS,pheS,b1714,ECK1712,phenylalanine&mdash;tRNA ligase,phenylalanine&mdash;tRNA ligase,tRNA charging,tRNA charging,PHENYLALANINE--TRNA-LIGASE-RXN,PHENYLALANINE--TRNA-LIGASE-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1883,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10709
ECB_04193,uxuR,uxuR,b4324,ECK4315,DNA-binding transcriptional repressor UxuR,"UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate"" // ""UxuR-fructuronate",NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4455,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG20249
ECB_02136,eco,eco,b2209,ECK2201,serine protease inhibitor ecotin,serine protease inhibitor ecotin,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2344,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10255
ECB_00629,miaB,miaB,b0661,ECK0653,isopentenyl-adenosine A37 tRNA methylthiolase,isopentenyl-adenosine A37 tRNA methylthiolase,NA,NA,RXN0-5063 // RXN-14480 // RXN-14481,RXN0-5063 // RXN-14480 // RXN-14481,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-813,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6364
ECB_02957,alx,alx,b3088,ECK3079,predicted membrane-bound redox modulator that is induced by high pH,putative membrane-bound redox modulator Alx,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3183,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7607
ECB_01177,ycgV,ycgV,b1202,ECK1190,putative adhesion and penetration protein,putative autotransporter adhesin YcgV,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1377,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6629
ECB_03769,csqR,csqR,b3884,ECK3877,DNA-binding transcriptional dual regulator CsqR,CsqR-6-sulfo-D-quinovose,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4018,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11849
ECB_01664,ydiO,ydiO,b1695,ECK1693,predicted enoyl-CoA reductase,putative acyl-CoA dehydrogenase YdiO,fatty acid &beta;-oxidation I,NA,"RXN-17792 // RXN-17796 // ""butanoyl-CoA dehydrogenase"" // RXN-17779 // RXN-17788 // RXN-17775 // RXN-17784 // ""acyl-CoA dehydrogenase""",NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1864,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6918
ECB_00258,rclC,rclC,b0301,ECK0301,reactive chlorine species resistance protein C,reactive chlorine species resistance protein C,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-444,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6171
ECB_00055,rsmA,rsmA,b0051,ECK0052,"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase","16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase",NA,NA,RXN-11633,RXN-11633,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-233,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10523
ECB_00607,cobC,cobC,b0638,ECK0631,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,adenosylcobalamin salvage from cobinamide I,"superpathway of adenosylcobalamin salvage from cobinamide I"" // ""adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I",RXN-8770 // RXN-16788,RXN-8770 // RXN-16788,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-792,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6349
ECB_02523,ygaV,ygaV,b2667,ECK2661,putative DNA-binding transcriptional regulator YgaV,putative DNA-binding transcriptional regulator YgaV,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2740,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7397
ECB_02940,yqjI,nfeR,b3071,ECK3061,YqjI DNA-binding transcriptional repressor,NfeR-nickel,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3166,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7594
ECB_01160,dsbB,dsbB,b1185,ECK1173,protein thiol:quinone oxidoreductase DsbB,protein thiol:quinone oxidoreductase DsbB<sub>reduced</sub>,NA,periplasmic disulfide bond formation,RXN-19950 // RXN-20160 // RXN-20056,RXN-19988 // RXN-19998 // RXN-19950 // RXN-20160 // RXN-20056,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1360,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11393
ECB_03754,glnL,glnL,b3869,ECK3862,sensory histidine kinase NtrB,sensory histidine kinase NtrB,NA,"Nitrogen Regulation Two-Component System"" // ""NtrBC Two-Component Signal Transduction System, nitrogen-dependent",NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4003,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10387
ECB_01642,ydhV,ydhV,b1673,ECK1669,predicted oxidoreductase,putative oxidoreductase YdhV,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1842,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6901
ECB_02104,lpxT,lpxT,b2174,ECK2168,Kdo<sub>2</sub>-lipid A phosphotransferase,Kdo<sub>2</sub>-lipid A phosphotransferase,NA,NA,RXN0-5383 // RXN-16281,RXN-16281 // RXN0-5383,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2311,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7146
ECB_00589,dpiB,dpiB,b0619,ECK0612,sensor histidine kinase DpiB,DpiB-<i>N</i>-phospho-L-histidine,NA,DpiBA Two-Component Signal Transduction System,2.7.13.3-RXN,2.7.13.3-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-774,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6345
ECB_02504,recN,recN,b2616,ECK2612,DNA repair protein RecN,DNA repair protein RecN,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2721,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10831
ECB_02925,ygiM,ygiM,b3055,ECK3045,predicted signal transduction protein (SH3 domain),putative signal transduction protein (SH3 domain),NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3150,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12434
ECB_00177,lpxD,lpxD,b0179,ECK0178,UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase,UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase,"superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis"" // ""superpathway of lipopolysaccharide biosynthesis"" // ""lipid IV<sub>A</sub> biosynthesis","superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis"" // ""superpathway of lipopolysaccharide biosynthesis"" // ""lipid IV<sub>A</sub> biosynthesis (E. coli)",UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-355,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10316
ECB_01125,pepT,pepT,b1127,ECK1113,peptidase T,peptidase T,NA,NA,3.4.11.4-RXN,3.4.11.4-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1325,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11549
ECB_00213,yhhI-1,ydcC,b1460,ECK1454,putative transposase,H repeat-associated putative transposase YdcC,NA,NA,RXN0-5131,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-398,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11526
ECB_00003,thrB,thrB,b0003,ECK0003,homoserine kinase,homoserine kinase,"aspartate superpathway"" // ""superpathway of lysine, threonine and methionine biosynthesis I"" // ""threonine biosynthesis"" // ""threonine biosynthesis from homoserine","aspartate superpathway"" // ""superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"" // ""superpathway of L-threonine biosynthesis"" // ""L-threonine biosynthesis","4-hydroxythreonine kinase"" // HOMOSERKIN-RXN
""thrC",HOMOSERKIN-RXN // RXN0-6564,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-182,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10999
ECB_04132,idnO,idnO,b4266,ECK4259,5-keto-D-gluconate 5-reductase,5-keto-D-gluconate 5-reductase,"ketogluconate metabolism"" // ""L-idonate degradation","ketogluconate metabolism"" // ""L-idonate degradation",GLUCONATE-5-DEHYDROGENASE-RXN // RXN0-7101,GLUCONATE-5-DEHYDROGENASE-RXN // RXN0-7101,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4395,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7892
ECB_00573,dsbG,dsbG,b0604,ECK0598,DsbG<SUB>reduced</SUB>,protein sulfenic acid reductase and chaperone DsbG,NA,NA,DISULFOXRED-RXN // 5.3.4.1-RXN,RXN-20019 // 5.3.4.1-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-758,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6333
ECB_02486,raiA,raiA,b2597,ECK2594,stationary phase translation inhibitor and ribosome stability factor,stationary phase translation inhibitor and ribosome stability factor,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2703,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11151
ECB_02904,cpdA,cpdA,b3032,ECK3023,cAMP phosphodiesterase,cAMP phosphodiesterase,NA,NA,RXN0-5038,RXN0-5038,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3129,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7579
ECB_01105,ndh,ndh,b1109,ECK1095,NADH:quinone oxidoreductase II,NADH:quinone oxidoreductase II,NA,"NADH to cytochrome <i>bo</i> oxidase electron transfer II"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer II"" // ""nitrate reduction VIIIb (dissimilatory)",R170-RXN // RXN0-5330 // RXN0-7123,RXN0-5330 // RXN0-7123 // R170-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1306,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10649
